participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time
participant_10,Q3,Part 2,121.35199,253.7862,132.4342,True,False,-5.320869999999985,True,False
participant_10,Q4,Part 1,253.7862,355.2939,101.50772,True,False,2.0856787499999783,True,False
participant_10,Q5,Part 2,355.2939,378.87225,23.578339,True,False,-32.73797499999999,True,False
participant_10,Q6,Part 2,379.03314,437.36252,58.329376,True,False,-2.6415825000000055,True,False
participant_10,Q7,Part 2,437.36252,519.3448,81.98227,True,False,-19.12834125,True,False
participant_10,Q8,Part 2,519.3448,572.12067,52.77588,True,False,-13.506705624999995,True,False
participant_10,Q9,Part 2,572.12067,605.7742,33.653503,True,False,-43.915626249999995,True,False
participant_11,Q1,Part 2,1191.8452,1217.8209,25.975708,True,False,-50.36237012500002,True,False
participant_11,Q10,Part 1,1505.0221,1529.0168,23.994751,True,False,-24.73032000000001,True,False
participant_11,Q11,Part 2,1529.0168,1593.7092,64.69238,True,False,-40.907548000000006,True,False
participant_11,Q12,Part 2,1593.7092,1677.1716,83.4624,True,False,-25.296664500000006,True,False
participant_11,Q13,Part 2,1677.1716,1719.4117,42.240112,True,False,-59.49931249999999,True,False
participant_11,Q14,Part 1,1719.4117,1746.9287,27.516968,True,False,-14.439941125,True,False
participant_11,Q15,Part 2,1746.9287,1823.2369,76.30823,True,False,-7.538453000000004,True,False
participant_11,Q2,Part 2,1217.8209,1275.5282,57.707275,True,False,5.275637500000002,True,False
participant_11,Q3,Part 1,1275.5282,1299.3278,23.79956,True,False,22.22259500000001,True,False
participant_11,Q4,Part 2,1299.3278,1325.6254,26.297607,True,False,-13.903518624999997,True,False
participant_11,Q5,Part 1,1325.6254,1348.9794,23.354004,True,False,-17.558349749999998,True,False
participant_11,Q6,Part 2,1348.9794,1395.671,46.69165,True,False,-2.6415825000000055,True,False
participant_11,Q7,Part 2,1395.671,1435.3196,39.64856,True,False,-19.12834125,True,False
participant_11,Q8,Part 2,1435.3196,1465.2072,29.887573,True,False,-13.506705624999995,True,False
participant_11,Q9,Part 1,1465.2072,1505.0221,39.81494,True,False,14.444060250000014,True,False
participant_12,Q1,Part 1,44.48244,103.46221,58.97977,True,False,-15.267332750000005,True,False
participant_12,Q10,Part 2,410.5138,429.39062,18.876831,True,False,21.069945000000015,False,True
participant_12,Q11,Part 2,429.39062,454.20142,24.810791,True,False,-40.907548000000006,True,False
participant_12,Q12,Part 1,454.20142,480.7742,26.572784,True,False,-33.93513524999999,True,False
participant_12,Q13,Part 2,480.7742,490.64722,9.873016,True,False,-59.49931249999999,True,False
participant_12,Q14,Part 2,490.64722,563.2258,72.57861,True,False,-15.682907499999992,True,False
participant_12,Q15,Part 2,563.2258,581.39886,18.173035,True,False,-7.538453000000004,True,False
participant_12,Q2,Part 2,103.46221,126.57849,23.11628,True,False,5.275637500000002,True,False
participant_12,Q3,Part 2,126.57849,168.72545,42.146957,True,False,-5.320869999999985,True,False
participant_12,Q4,Part 2,168.72545,213.0827,44.357254,True,False,-13.903518624999997,True,False
participant_12,Q5,Part 2,213.0827,230.3651,17.282394,True,False,-32.73797499999999,True,False
participant_12,Q6,Part 1,230.3651,317.23776,86.872665,True,False,-16.519976249999978,True,False
participant_12,Q7,Part 1,317.23776,329.5445,12.306732,True,False,9.099364500000007,True,False
participant_12,Q8,Part 2,329.5445,397.84937,68.30487,True,False,-13.506705624999995,True,False
participant_12,Q9,Part 1,397.84937,410.5138,12.664429,True,False,14.444060250000014,False,True
participant_13,Q1,Part 2,74.35633,196.03941,121.68308,True,False,-50.36237012500002,True,False
participant_13,Q10,Part 2,888.4083,939.4774,51.06909,True,False,21.069945000000015,True,False
participant_13,Q11,Part 1,939.4774,1026.2555,86.778076,True,False,-23.071903749999997,True,False
participant_13,Q12,Part 2,1026.2555,1086.7295,60.474,True,False,-25.296664500000006,True,False
participant_13,Q13,Part 2,1086.7295,1169.4874,82.757935,True,False,-59.49931249999999,True,False
participant_13,Q14,Part 1,1169.4874,1229.2307,59.743286,True,False,-14.439941125,True,False
participant_13,Q15,Part 2,1229.2921,1310.8457,81.55359,True,False,-7.538453000000004,True,False
participant_13,Q2,Part 1,196.03941,285.17584,89.13643,True,False,-33.965227500000005,True,False
participant_13,Q3,Part 2,285.17584,442.347,157.17114,True,False,-5.320869999999985,True,False
participant_13,Q4,Part 2,442.347,489.23587,46.888885,True,False,-13.903518624999997,True,False
participant_13,Q5,Part 2,489.23587,592.61316,103.37729,True,False,-32.73797499999999,True,False
participant_13,Q6,Part 1,592.61316,694.66315,102.04999,True,False,-16.519976249999978,True,False
participant_13,Q7,Part 2,694.66315,770.44916,75.78601,True,False,-19.12834125,True,False
participant_13,Q8,Part 1,770.44916,856.23584,85.78668,True,False,12.627906249999999,True,False
