participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label
participant_16,Q13,Part 2,4726.1582,4796.375,70.21680000000015,True,False,-59.499320000000125,True,False,1,NP
participant_16,Q14,Part 2,4796.375,4833.25586,36.88086000000021,True,False,-15.682910000000703,True,False,1,NP
participant_16,Q15,Part 1,4833.25586,4914.21973,80.96386999999959,True,False,-50.906236250000276,True,False,1,NP
participant_16,Q2,Part 2,4106.97314,4146.90869,39.93555000000015,True,False,5.275629999999509,True,False,0,UP
participant_16,Q3,Part 1,4146.90869,4209.07666,62.167969999999514,True,False,22.222594999999387,True,False,1,NP
participant_16,Q4,Part 2,4209.07666,4267.6416,58.564940000000206,True,False,-13.903517500000689,True,False,1,NP
participant_16,Q5,Part 2,4267.6416,4319.08545,51.44384999999966,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_16,Q6,Part 2,4319.08545,4365.37842,46.29297000000042,True,False,-2.641577499999663,True,False,0,UP
participant_16,Q7,Part 1,4365.37842,4435.55078,70.17235999999957,True,False,9.099355000000855,True,False,1,UP
participant_16,Q8,Part 1,4435.55078,4498.16748,62.61670000000049,True,False,12.627906249999654,True,False,1,NP
participant_16,Q9,Part 2,4498.16748,4532.75146,34.58398000000034,True,False,-43.915629999999766,True,False,0,UP
participant_17,Q1,Part 2,93.62907,197.81746,104.18839000000001,True,False,-50.36236749999948,True,False,0,UP
participant_17,Q10,Part 2,658.26099,729.76697,71.50598000000002,True,False,21.069950000000233,True,False,0,UP
participant_17,Q11,Part 1,729.76697,805.17047,75.40350000000001,True,False,-23.071896249999938,True,False,1,NP
participant_17,Q12,Part 2,805.17047,852.24738,47.07691,True,False,-25.296670000000063,True,False,0,UP
participant_17,Q13,Part 2,852.24738,857.37103,5.123649999999998,True,False,-59.499320000000125,True,False,0,UP
participant_17,Q14,Part 1,857.37103,915.5343,58.16327000000001,True,False,-14.439928750000348,True,False,1,NP
participant_17,Q15,Part 2,915.5343,965.43176,49.897460000000024,True,False,-7.538450000000111,True,False,0,UP
participant_17,Q2,Part 2,197.81746,262.7717,64.95424,True,False,5.275629999999509,True,False,0,UP
participant_17,Q3,Part 2,262.7717,324.49078,61.71907999999996,True,False,-5.320869999999928,True,False,1,NP
participant_17,Q4,Part 2,324.49078,402.10535,77.61457000000001,True,False,-13.903517500000689,True,False,0,UP
participant_17,Q5,Part 1,402.54105,430.85596,28.314909999999998,True,False,-17.558350000001838,True,False,0,NA_no_correct
participant_17,Q6,Part 1,430.85596,503.74817,72.89221000000003,True,False,-16.519989999999503,True,False,1,NP
participant_17,Q7,Part 2,503.74817,558.95825,55.210080000000005,True,False,-19.128347499999308,True,False,0,UP
participant_17,Q8,Part 2,558.95825,598.70496,39.74671000000001,True,False,-13.50669250000017,True,False,1,NP
