BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI,randomness_label,randomness_label_num
0.0,0,44,1,0.39766,0.35304,0,0.87187,0.86667,0.14111,10880,4870.05713,1,0.40752,0.37156,-0.0548,-0.01538,0.63668,0.27473,0.57111,16.69597,1,0.3851,0.37684,0.96529,0.00325,1,1,0.01239,-0.02036,0.66387,0.54683,0.59278,15.48503,1,0.41021,0.32924,0.96529,0.00319,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.40475,0.34967,0,0.87187,0.86667,0.14795,10880,4870.05713,1,0.4074,0.3706,-0.0548,-0.01538,0.63668,0.27385,0.57096,16.78322,1,0.40784,0.36666,0.95845,0.00318,1,1,0.01239,-0.02036,0.66387,0.54632,0.59213,15.51098,1,0.40166,0.33268,0.95845,0.0032,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39926,0.37963,0,0.87187,0.86667,0.1543,10880,4870.05713,1,0.40706,0.37098,-0.0548,-0.01538,0.63668,0.27361,0.57081,16.77064,1,0.41354,0.39087,0.95161,0.00327,1,1,0.01239,-0.02036,0.66387,0.54589,0.592,16.04607,1,0.38498,0.3684,0.95161,0.00305,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39989,0.3841,0,0.87187,0.86667,0.16113,10880,4870.05713,1,0.40677,0.3715,-0.0544,-0.01506,0.62766,0.27277,0.57064,16.91478,1,0.41462,0.39389,0.94476,0.00322,1,1,0.01159,-0.01942,0.64401,0.54502,0.59093,15.85563,1,0.38515,0.37431,0.93813,0.00307,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.38924,0.38016,0,0.87187,0.86667,0.16797,10880,4870.05713,1,0.4061,0.37184,-0.0544,-0.01506,0.62766,0.27199,0.57043,17.05993,1,0.39229,0.38416,0.93813,0.00324,1,1,0.01159,-0.01942,0.64401,0.54448,0.59068,16.00973,1,0.38619,0.37615,0.93149,0.00315,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39623,0.39075,0,0.87187,0.86667,0.1748,10880,4870.05713,1,0.40573,0.37254,-0.0544,-0.01506,0.62766,0.27179,0.57028,16.5163,1,0.3987,0.41113,0.93149,0.0034,1,1,0.01159,-0.01942,0.64401,0.54415,0.59028,15.75539,1,0.39377,0.37036,0.92485,0.00305,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39683,0.39366,0,0.87187,0.86667,0.18115,10880,4870.05713,1,0.40541,0.37329,-0.05626,-0.01532,0.64243,0.27086,0.57001,16.94567,1,0.39987,0.41395,0.92485,0.00324,1,1,0.01131,-0.01935,0.64989,0.54339,0.58967,16.19633,1,0.3938,0.37336,0.91821,0.00303,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.4109,0.40182,0,0.87187,0.86667,0.18799,10880,4870.05713,1,0.4056,0.37428,-0.05626,-0.01532,0.64243,0.27014,0.56984,17.00868,1,0.42888,0.41628,0.91821,0.00323,1,1,0.01131,-0.01935,0.64989,0.54274,0.58912,15.67591,1,0.39291,0.38736,0.91821,0.00308,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39929,0.39072,0,0.87187,0.86667,0.19482,10880,4870.05713,1,0.40539,0.37482,-0.05626,-0.01532,0.64243,0.26976,0.56984,16.95117,1,0.40921,0.40391,0.91821,0.00327,1,1,0.01131,-0.01935,0.64989,0.54235,0.58894,15.74306,1,0.38937,0.37753,0.91821,0.0032,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39926,0.38924,0,0.87187,0.86667,0.20117,10880,4870.05713,1,0.40519,0.37529,-0.057,-0.01532,0.64643,0.26908,0.56945,16.93663,1,0.40921,0.40391,0.91821,0.00323,1,1,0.011,-0.01924,0.65779,0.54175,0.58816,15.70785,1,0.38932,0.37456,0.92485,0.00309,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39183,0.38164,0,0.87187,0.86667,0.2085,10880,4870.05713,1,0.40478,0.37549,-0.057,-0.01532,0.64643,0.2683,0.56927,17.32957,1,0.39835,0.38628,0.92485,0.00321,1,1,0.011,-0.01924,0.65779,0.54112,0.58762,15.7421,1,0.38531,0.377,0.93149,0.00308,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
