BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI
0.0,0,8,1,0.13552,0.00598,0,0.9,0.76759,0.42188,2722,757.8551,0,0.23393,-0.01911,-0.06524,-0.06221,0.65472,0.23475,0.80084,23.31361,1,0.14106,-0.00207,1.16803,0.00528,1,1,-0.00156,-0.06606,0.64814,0.4896,0.82232,21.51713,1,0.12998,0.01402,1.15105,0.00475,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.1409,0.00867,0,0.9,0.76759,0.42188,2722,757.8551,0,0.14926,-0.01291,-0.06524,-0.06221,0.65472,0.23484,0.80093,23.58493,1,0.1535,0.03745,1.14237,0.00528,1,1,-0.00156,-0.06606,0.64814,0.48976,0.82225,21.44804,1,0.1283,-0.0201,1.1254,0.0048,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.14951,0.04216,0,0.89635,0.72963,0.42188,2722,757.8551,0,0.14939,0.01462,-0.06334,-0.06035,0.63512,0.23481,0.8006,23.07001,1,0.16401,0.06824,1.109,0.00528,1,1,-0.00151,-0.06414,0.6293,0.48975,0.82225,21.39712,1,0.13502,0.01607,1.09203,0.00479,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.17149,0.07351,0,0.89635,0.72963,0.42188,2722,757.8551,0,0.15676,0.03425,-0.06334,-0.06035,0.63512,0.23477,0.80103,23.64137,1,0.17935,0.10752,1.08431,0.00517,1,1,-0.00151,-0.06414,0.6293,0.48981,0.82244,21.94579,1,0.16364,0.03951,1.08431,0.00464,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.16959,0.10489,0,0.89635,0.72963,0.0199,2723,758.30377,1,0.15996,0.05191,-0.06334,-0.06035,0.63512,0.23473,0.80117,23.51915,1,0.17832,0.13145,1.0766,0.00515,1,1,-0.00151,-0.06414,0.6293,0.48981,0.82259,22.12474,1,0.16085,0.07833,1.0766,0.00463,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.1733,0.11894,0,0.89635,0.72963,0.02655,2723,758.30377,1,0.16263,0.06532,-0.0627,-0.05975,0.62832,0.23472,0.80111,23.25133,1,0.18297,0.14449,1.06198,0.00518,1,1,-0.00151,-0.06414,0.6293,0.48978,0.82248,21.86016,1,0.16363,0.09339,1.06198,0.00459,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.16527,0.10912,0,0.89635,0.72963,0.0332,2723,758.30377,1,0.16307,0.07262,-0.0627,-0.05975,0.62832,0.23462,0.80117,23.05889,1,0.16956,0.14994,1.05507,0.00516,1,1,-0.00151,-0.06414,0.6293,0.48963,0.82244,21.56422,1,0.16097,0.0683,1.05507,0.00457,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.16471,0.12154,0,0.89635,0.72963,0.03973,2723,758.30377,1,0.16331,0.07961,-0.0627,-0.05975,0.62832,0.23456,0.80119,23.16675,1,0.17117,0.16155,1.04817,0.00515,1,1,-0.00151,-0.06414,0.6293,0.48956,0.82241,21.51062,1,0.15825,0.08154,1.04817,0.00455,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.16189,0.10982,0,0.88802,0.69352,0.04785,2723,758.30377,1,0.16313,0.08338,-0.06626,-0.06315,0.66298,0.23454,0.8012,23.14596,1,0.1686,0.1547,1.05588,0.00517,1,1,-0.00165,-0.06783,0.66495,0.4895,0.82225,21.03628,1,0.15517,0.06495,1.06387,0.00459,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.19315,0.07188,0,0.88802,0.69352,0.05334,2723,758.30377,1,0.16646,0.08211,-0.06626,-0.06315,0.66298,0.23447,0.80119,23.07209,1,0.20628,0.13185,1.07849,0.00515,1,1,-0.00165,-0.06783,0.66495,0.48945,0.82223,21.35785,1,0.18001,0.0119,1.08648,0.00462,1,1,participant_10,question_14,Timer-No-Correct,True,Question
